frameNo, fps, batches, triangles, vertices, shadowCasters, renderTextureChanges, frameTime, renderTime, renderTextureCount, renderTextureBytes, usedTextureMemorySize, usedTextureCount, screenRes, screenBytes, vboTotal, vboTotalBytes, vboUploads, vboUploadBytes, ibUploads, ibUploadBytes, visibleSkinnedMeshes, drawCalls
0,50.0000011175871,943,663037,782386,1095,73,0.0064309,0.0029738,2,640000,0,0,1920x1080,24883200,0,0,63,3065256,61,520344,0,943
1,50.0000011175871,943,663037,782386,1095,73,0.0064309,0.0029738,2,640000,0,0,1920x1080,24883200,0,0,63,3065256,61,520344,0,943
2,1447.17807678678,139,300387,345159,286,31,0.1546911,0.0006563999,38,304334382,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,256
3,3.49565387700674,115,213683,221259,265,31,0.2772756,0.0048194,33,281491630,0,0,1920x1080,24883200,0,0,14,476496,12,14376,2,265
4,70.6788714675435,115,213683,221259,265,31,0.2772756,0.0048194,34,289786030,0,0,1920x1080,24883200,0,0,14,476496,12,14376,2,265
5,27.4784910937022,107,77176,85763,110,34,0.0029247,0.0009273,34,289786030,0,0,1920x1080,24883200,0,0,14,476496,12,14376,2,161
6,19.6187289385974,107,76982,85551,108,34,0.0414489,0.0007651999,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,163
7,18.3027826782544,107,76982,85551,108,34,0.0538248,0.0008227,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,163
8,46.5716306410222,102,75110,83032,100,34,0.00403,0.0010894,34,289786030,0,0,1920x1080,24883200,0,0,14,476496,12,14376,2,153
9,132.59082203972,102,75108,83028,99,34,0.0075818,0.0054648,34,289786030,0,0,1920x1080,24883200,0,0,14,476496,12,14376,2,154
10,62.9786383043716,101,75102,83016,99,34,0.0021015,0.000707,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,153
11,89.2076583166555,108,87872,90054,98,34,0.0111775,0.0089823,34,289786030,0,0,1920x1080,24883200,0,0,14,476496,12,14376,2,159
12,43.8515699532922,104,74914,82752,98,34,0.0028453,0.0007536,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
13,65.6254098143234,107,86446,88235,96,34,0.0027084,0.0009195,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,159
14,60.0618653950627,106,85992,87579,95,34,0.0023561,0.0007673,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,156
15,62.0166605020145,106,85956,87507,93,34,0.0027168,0.0009602,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
16,57.7634025294403,106,85956,87507,93,34,0.0025336,0.0008292,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
17,56.9100133871391,106,85424,87101,92,34,0.0021111,0.0006853,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
18,58.2214537022186,106,85424,87101,92,34,0.0023943,0.0007603,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
19,66.1879088887448,105,85292,86909,91,34,0.0019131,0.000712,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
20,56.6723168231213,105,85292,86909,91,34,0.0018645,0.0006189001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
21,62.9096967855493,105,84038,85231,91,34,0.001824,0.0006212,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,155
22,60.2246382932564,106,84038,85231,91,34,0.0020014,0.0006255,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,156
